iter	Passed	Remaining
400	29942	7392
401	30009	7315
402	30076	7239
403	30142	7162
404	30210	7086
405	30277	7009
406	30345	6933
407	30413	6857
408	30481	6781
409	30548	6705
410	30615	6629
411	30683	6553
412	30749	6477
413	30815	6401
414	30882	6325
415	30950	6249
416	31016	6173
417	31085	6098
418	31151	6022
419	31219	5946
420	31252	5864
421	31318	5788
422	31390	5714
423	31455	5638
424	31522	5562
425	31587	5486
426	31652	5411
427	31719	5336
428	31785	5260
429	31850	5184
430	31917	5109
431	31984	5034
432	32052	4959
433	32102	4881
434	32171	4807
435	32239	4732
436	32305	4657
437	32371	4582
438	32441	4507
439	32511	4433
440	32578	4358
441	32644	4283
442	32710	4208
443	32760	4131
444	32828	4057
445	32894	3982
446	32969	3909
447	33040	3835
448	33108	3760
449	33174	3686
450	33240	3611
451	33308	3537
452	33373	3462
453	33438	3388
454	33505	3313
455	33573	3239
456	33639	3165
457	33706	3090
458	33773	3016
459	33839	2942
460	33905	2868
461	33974	2794
462	34041	2720
463	34107	2646
464	34173	2572
465	34240	2498
466	34306	2424
467	34372	2350
468	34436	2276
469	34503	2202
470	34570	2128
471	34635	2054
472	34701	1980
473	34767	1907
474	34833	1833
475	34898	1759
476	34963	1685
477	35029	1612
478	35096	1538
479	35161	1465
480	35227	1391
481	35295	1318
482	35361	1244
483	35395	1170
484	35461	1096
485	35527	1023
486	35593	950
487	35658	876
488	35722	803
489	35788	730
490	35864	657
491	35929	584
492	35996	511
493	36062	438
494	36128	364
495	36202	291
496	36275	218
497	36341	145
498	36410	72
499	36444	0
